iter	Passed	Remaining
0	5	2669
1	10	2597
2	15	2581
3	21	2619
4	26	2635
5	32	2670
6	39	2751
7	45	2792
8	51	2815
9	57	2824
10	63	2840
11	70	2846
12	75	2842
13	82	2847
14	87	2843
15	93	2830
16	99	2823
17	105	2813
18	111	2812
19	116	2806
20	122	2800
21	129	2805
22	135	2816
23	141	2813
24	147	2808
25	153	2801
26	159	2795
27	165	2783
28	170	2775
29	176	2769
30	182	2763
31	188	2754
32	194	2747
33	199	2736
34	205	2736
35	211	2729
36	217	2721
37	222	2710
38	228	2697
39	234	2699
40	240	2697
41	246	2689
42	253	2689
43	259	2687
44	265	2684
45	272	2687
46	278	2683
47	284	2676
48	290	2669
49	296	2664
50	302	2662
51	308	2662
52	315	2662
53	322	2660
54	329	2666
55	336	2668
56	343	2669
57	350	2673
58	357	2674
59	364	2671
60	370	2669
61	377	2666
62	383	2663
63	390	2657
64	396	2650
65	402	2644
66	408	2642
67	414	2634
68	420	2626
69	426	2618
70	431	2608
71	437	2602
72	443	2594
73	449	2587
74	455	2579
75	460	2570
76	467	2566
77	473	2560
78	478	2552
79	484	2542
80	490	2534
81	496	2529
82	502	2522
83	507	2515
84	513	2508
85	519	2500
86	525	2495
87	531	2487
88	537	2482
89	544	2481
90	550	2474
91	556	2469
92	562	2462
93	568	2455
94	574	2449
95	580	2441
96	586	2434
97	591	2427
98	597	2420
99	603	2413
100	609	2405
101	615	2403
102	622	2399
103	628	2394
104	636	2394
105	643	2392
106	649	2385
107	655	2378
108	661	2372
109	667	2364
110	672	2357
111	679	2353
112	685	2346
113	691	2339
114	696	2332
115	702	2326
116	708	2319
117	714	2312
118	720	2305
119	725	2298
120	731	2291
121	737	2286
122	743	2279
123	751	2277
124	758	2274
125	764	2269
126	770	2262
127	776	2255
128	782	2249
129	787	2241
130	793	2235
131	799	2228
132	805	2221
133	811	2216
134	817	2210
135	823	2204
136	829	2197
137	835	2190
138	840	2183
139	846	2177
140	852	2170
141	858	2165
142	864	2158
143	870	2151
144	875	2144
145	881	2137
146	887	2131
147	893	2123
148	898	2116
149	904	2109
150	909	2102
151	916	2097
152	921	2090
153	927	2083
154	933	2077
155	939	2070
156	945	2065
157	951	2059
158	957	2052
159	963	2046
160	968	2039
161	974	2033
162	980	2028
163	986	2021
164	992	2015
165	998	2008
166	1004	2002
167	1009	1995
168	1015	1989
169	1021	1983
170	1027	1976
171	1032	1969
172	1038	1962
173	1043	1955
174	1049	1948
175	1054	1941
176	1060	1935
177	1066	1928
178	1071	1921
179	1078	1917
180	1085	1912
181	1091	1906
182	1097	1900
183	1102	1893
184	1108	1888
185	1113	1880
186	1119	1873
187	1125	1867
188	1131	1861
189	1136	1855
190	1142	1848
191	1148	1842
192	1154	1836
193	1160	1829
194	1165	1823
195	1171	1817
196	1177	1811
197	1183	1805
198	1189	1799
199	1195	1792
200	1201	1787
201	1207	1781
202	1213	1776
203	1220	1771
204	1226	1764
205	1232	1758
206	1237	1752
207	1244	1746
208	1250	1740
209	1256	1735
210	1262	1729
211	1268	1722
212	1273	1716
213	1279	1709
214	1285	1703
215	1291	1697
216	1297	1691
217	1303	1685
218	1308	1679
219	1314	1673
220	1320	1667
221	1326	1660
222	1331	1654
223	1337	1648
224	1343	1642
225	1350	1636
226	1356	1631
227	1361	1624
228	1368	1619
229	1375	1614
230	1382	1609
231	1388	1604
232	1394	1598
233	1401	1592
234	1408	1587
235	1414	1582
236	1421	1577
237	1429	1573
