age_group,age_of_respondent,age_squared,age_x_education,cellphone_access,country_Rwanda,country_Tanzania,country_Uganda,edu_x_employment,edu_x_mobile,education_level_te,education_rank,employment_rank,formal_x_urban,gender_of_respondent,head_x_formal,household_size,household_size_log,inclusion_score,is_dependent,is_formal_employed,is_household_head,is_married,job_type_te,location_type,marital_rank,marital_status_te,married_x_head,mobile_x_urban,relationship_rank,relationship_with_head_te
1.0,24,576,48,1,False,False,False,6,2,0.23317194481246947,2,3,0,0,0,3,1.3862943611198906,1.7,0,0,0,1,0.13274025031978195,0,4,0.17386138684213095,0,0,4,0.10740123258362805
5.0,70,4900,0,0,False,False,False,0,0,0.04010408408888351,0,1,0,0,0,5,1.791759469228055,0.3,1,0,1,0,0.20748077613406637,0,2,0.08606009464218703,0,0,5,0.17669830543207674
2.0,26,676,78,1,False,False,False,9,3,0.5461545629178923,3,3,0,1,0,5,1.791759469228055,2.0999999999999996,0,0,0,0,0.12875959149970187,1,3,0.12125443625116719,0,1,2,0.0937561764667128
2.0,34,1156,34,1,False,False,False,4,1,0.08730220222140785,1,4,0,0,1,5,1.791759469228055,1.75,0,1,1,1,0.5386046902027327,0,4,0.17525196637664844,1,0,5,0.17854291215320198
2.0,26,676,26,0,False,False,False,2,0,0.08447384449235934,1,2,0,1,0,8,2.1972245773362196,1.1,0,0,0,0,0.07891206612501864,1,3,0.11954162348512508,0,0,3,0.08903389840944755
2.0,26,676,26,0,False,False,False,2,0,0.08711619640620037,1,2,0,0,0,7,2.0794415416798357,0.95,0,0,0,1,0.07568639743392369,0,4,0.17535002874245104,0,0,4,0.10718281593815017
2.0,32,1024,32,1,False,False,False,3,1,0.08447384449235934,1,3,0,0,0,7,2.0794415416798357,1.45,0,0,0,1,0.13274025031978195,0,4,0.17386138684213095,0,0,4,0.10740123258362805
3.0,42,1764,168,1,False,False,False,20,4,0.5111282067367404,4,5,0,0,1,1,0.6931471805599453,2.8000000000000003,0,1,1,1,0.7448965080150253,0,4,0.17535002874245104,1,0,5,0.1792329044686489
4.0,54,2916,108,1,False,False,False,4,2,0.23317194481246947,2,2,0,1,0,3,1.3862943611198906,1.4000000000000001,0,0,1,1,0.11660205721804419,0,4,0.17386138684213095,1,0,5,0.17619525893659033
5.0,76,5776,0,1,False,False,False,0,0,0.03950578370223743,0,1,0,0,0,3,1.3862943611198906,0.65,1,0,1,0,0.09602711050726134,1,1,0.10722471535179388,0,1,5,0.17473756152716832
3.0,40,1600,80,1,False,False,False,4,2,0.2312843150607104,2,2,0,0,0,5,1.791759469228055,1.4000000000000001,0,0,1,1,0.11598264135968962,0,4,0.17331037522029275,1,0,5,0.17669830543207674
5.0,69,4761,138,1,False,False,False,4,2,0.22475422735561532,2,2,0,1,0,3,1.3862943611198906,1.4000000000000001,0,0,1,1,0.181603552033751,0,4,0.16979643413223136,1,0,5,0.17473756152716832
4.0,64,4096,0,0,False,False,False,0,0,0.04010408408888351,0,2,0,0,0,6,1.9459101490553132,0.7,0,0,1,0,0.11598264135968962,0,2,0.08606009464218703,0,0,5,0.17669830543207674
2.0,31,961,31,0,False,False,False,3,0,0.08464788066761095,1,3,0,0,0,8,2.1972245773362196,1.25,0,0,0,1,0.1300282705262567,0,4,0.16979643413223136,0,0,4,0.10474301432449785
2.0,26,676,26,1,False,False,False,2,1,0.08711619640620037,1,2,0,1,0,4,1.6094379124341003,1.3,0,0,1,1,0.07568639743392369,1,4,0.17535002874245104,1,1,5,0.1792329044686489
3.0,38,1444,38,1,False,False,False,2,1,0.08711619640620037,1,2,0,1,0,7,2.0794415416798357,1.1500000000000001,0,0,1,1,0.07568639743392369,0,4,0.17535002874245104,1,0,5,0.1792329044686489
3.0,47,2209,94,1,False,False,False,6,2,0.22475422735561532,2,3,0,0,0,1,0.6931471805599453,1.8499999999999999,0,0,1,1,0.1300282705262567,1,4,0.16979643413223136,1,1,5,0.17473756152716832
2.0,27,729,54,1,False,False,False,6,2,0.2359306861300142,2,3,0,0,0,6,1.9459101490553132,1.7,0,0,1,1,0.13167552098203136,0,4,0.17525196637664844,1,0,5,0.17854291215320198
3.0,48,2304,144,1,False,False,False,12,3,0.5461545629178923,3,4,1,0,1,1,0.6931471805599453,2.4,0,1,1,0,0.5417903885442559,1,3,0.12125443625116719,0,1,5,0.17669830543207674
1.0,25,625,25,0,False,False,False,2,0,0.08447384449235934,1,2,0,0,0,4,1.6094379124341003,0.95,0,0,0,1,0.11660205721804419,0,4,0.17386138684213095,0,0,4,0.10740123258362805
2.0,26,676,26,1,False,False,False,2,1,0.08711619640620037,1,2,0,1,0,4,1.6094379124341003,1.1500000000000001,0,0,1,1,0.11815833088018324,0,4,0.17535002874245104,1,0,5,0.1792329044686489
2.0,32,1024,96,1,False,False,False,9,3,0.5461545629178923,3,3,0,1,0,1,0.6931471805599453,2.0999999999999996,0,0,1,0,0.12875959149970187,1,3,0.12125443625116719,0,1,5,0.17669830543207674
2.0,34,1156,68,1,False,False,False,6,2,0.2312843150607104,2,3,0,0,0,4,1.6094379124341003,1.8499999999999999,0,0,0,1,0.12875959149970187,1,4,0.17331037522029275,0,1,4,0.10459369694815576
1.0,21,441,42,1,False,False,False,4,2,0.23598349431068735,2,2,0,0,0,3,1.3862943611198906,1.4000000000000001,0,0,0,1,0.07568639743392369,0,4,0.17535002874245104,0,0,4,0.10718281593815017
0.0,18,324,36,0,False,False,False,2,0,0.22475422735561532,2,1,0,1,0,7,2.0794415416798357,0.9500000000000001,1,0,0,0,0.09602711050726134,1,3,0.12312717000232308,0,0,2,0.10766452075411237
1.0,22,484,44,1,False,False,False,2,2,0.22475422735561532,2,1,0,0,0,5,1.791759469228055,1.0,1,0,0,0,0.09602711050726134,0,3,0.12312717000232308,0,0,3,0.08327729163143878
2.0,26,676,26,0,False,False,False,3,0,0.08447384449235934,1,3,0,1,0,8,2.1972245773362196,1.25,0,0,0,1,0.13274025031978195,0,4,0.17386138684213095,0,0,3,0.08903389840944755
2.0,31,961,31,1,False,False,False,2,1,0.08711619640620037,1,2,0,0,0,1,0.6931471805599453,1.3,0,0,1,0,0.07568639743392369,1,3,0.1219834162857301,0,1,5,0.1792329044686489
2.0,26,676,26,1,False,False,False,4,1,0.08423866352234775,1,4,0,1,1,4,1.6094379124341003,1.75,0,1,1,1,0.5417903885442559,0,4,0.17331037522029275,1,0,5,0.17669830543207674
4.0,58,3364,0,0,False,False,False,0,0,0.039653846562146315,0,1,0,0,0,7,2.0794415416798357,0.3,1,0,1,0,0.09580031685174088,0,2,0.09119993011236621,0,0,5,0.17619525893659033
4.0,55,3025,110,1,False,False,False,4,2,0.2359306861300142,2,2,0,1,0,5,1.791759469228055,1.55,0,0,1,1,0.0799680513397514,1,4,0.17525196637664844,1,1,5,0.17854291215320198
3.0,38,1444,76,1,False,False,False,6,2,0.2359306861300142,2,3,0,1,0,5,1.791759469228055,1.8499999999999999,0,0,1,1,0.13167552098203136,1,4,0.17525196637664844,1,1,5,0.17854291215320198
4.0,62,3844,62,1,False,False,False,5,1,0.08423866352234775,1,5,1,0,0,4,1.6094379124341003,2.2,0,1,0,1,0.7348179927537181,1,4,0.17331037522029275,0,1,4,0.10459369694815576
2.0,29,841,29,1,False,False,False,1,1,0.08711619640620037,1,1,0,0,0,3,1.3862943611198906,0.75,1,0,1,1,0.09985870096715979,0,4,0.17535002874245104,1,0,5,0.1792329044686489
3.0,42,1764,42,1,False,False,False,2,1,0.08730220222140785,1,2,0,0,0,10,2.3978952727983707,1.1500000000000001,0,0,0,1,0.12029817018982014,0,4,0.17525196637664844,0,0,4,0.10966821404292762
3.0,48,2304,48,1,False,False,False,2,1,0.08730220222140785,1,2,0,0,0,5,1.791759469228055,1.1500000000000001,0,0,1,0,0.0799680513397514,0,2,0.09433295239300389,0,0,5,0.17854291215320198
2.0,35,1225,35,1,False,False,False,2,1,0.08711619640620037,1,2,0,1,0,4,1.6094379124341003,1.1500000000000001,0,0,1,1,0.07568639743392369,0,4,0.17535002874245104,1,0,5,0.1792329044686489
3.0,45,2025,45,1,False,False,False,2,1,0.08711619640620037,1,2,0,1,0,5,1.791759469228055,1.1500000000000001,0,0,1,1,0.07568639743392369,0,4,0.17535002874245104,1,0,5,0.1792329044686489
3.0,45,2025,45,1,False,False,False,2,1,0.08447384449235934,1,2,0,1,0,8,2.1972245773362196,1.1500000000000001,0,0,1,1,0.11660205721804419,0,4,0.17386138684213095,1,0,5,0.17619525893659033
5.0,70,4900,0,0,False,False,False,0,0,0.03841058318897575,0,2,0,1,0,3,1.3862943611198906,0.7,0,0,1,1,0.11815833088018324,0,4,0.17535002874245104,1,0,5,0.1792329044686489
5.0,67,4489,67,1,False,False,False,2,1,0.08464788066761095,1,2,0,1,0,6,1.9459101490553132,1.1500000000000001,0,0,1,0,0.11307491948010931,0,1,0.10722471535179388,0,0,5,0.17473756152716832
1.0,19,361,38,1,False,False,False,2,2,0.23317194481246947,2,1,0,0,0,4,1.6094379124341003,1.15,1,0,0,0,0.09580031685174088,1,3,0.11954162348512508,0,1,2,0.08964679523349194
5.0,80,6400,80,1,False,False,False,1,1,0.08447384449235934,1,1,0,1,0,3,1.3862943611198906,0.75,1,0,1,0,0.09580031685174088,0,2,0.09119993011236621,0,0,5,0.17619525893659033
5.0,66,4356,132,1,False,False,False,4,2,0.23598349431068735,2,2,0,1,0,2,1.0986122886681098,1.4000000000000001,0,0,1,1,0.11815833088018324,0,4,0.17535002874245104,1,0,5,0.1792329044686489
2.0,31,961,31,0,False,False,False,4,0,0.08730220222140785,1,4,1,1,1,1,0.6931471805599453,1.7,0,1,1,0,0.5386046902027327,1,3,0.11942559141635967,0,0,5,0.17854291215320198
3.0,50,2500,50,1,False,False,False,3,1,0.08711619640620037,1,3,0,0,0,1,0.6931471805599453,1.45,0,0,1,0,0.13564585212566557,0,3,0.1219834162857301,0,0,5,0.1792329044686489
2.0,29,841,29,0,False,False,False,2,0,0.08730220222140785,1,2,0,0,0,3,1.3862943611198906,0.95,0,0,1,0,0.0799680513397514,0,3,0.11942559141635967,0,0,5,0.17854291215320198
2.0,33,1089,99,1,False,False,False,6,3,0.5687359626456416,3,2,0,1,0,4,1.6094379124341003,1.6500000000000001,0,0,1,1,0.11660205721804419,0,4,0.17386138684213095,1,0,5,0.17619525893659033
2.0,28,784,84,1,False,False,False,9,3,0.5461545629178923,3,3,0,0,0,4,1.6094379124341003,2.0999999999999996,0,0,0,1,0.12875959149970187,1,4,0.17331037522029275,0,1,3,0.09000870749722986
2.0,28,784,56,1,False,False,False,4,2,0.23317194481246947,2,2,0,1,0,3,1.3862943611198906,1.55,0,0,0,0,0.11660205721804419,1,3,0.11954162348512508,0,1,3,0.08903389840944755
2.0,26,676,52,1,False,False,False,4,2,0.23317194481246947,2,2,0,0,0,3,1.3862943611198906,1.55,0,0,1,0,0.07891206612501864,1,1,0.11219584686078754,0,1,5,0.17619525893659033
4.0,51,2601,102,1,False,False,False,6,2,0.23598349431068735,2,3,0,0,0,2,1.0986122886681098,1.8499999999999999,0,0,1,0,0.13564585212566557,1,3,0.1219834162857301,0,1,5,0.1792329044686489
0.0,16,256,16,0,False,False,False,1,0,0.08730220222140785,1,1,0,0,0,5,1.791759469228055,0.7000000000000001,1,0,0,0,0.09228536053028268,1,3,0.11942559141635967,0,0,2,0.10269244697150681
0.0,17,289,34,1,False,False,False,2,2,0.22475422735561532,2,1,0,1,0,2,1.0986122886681098,1.0,1,0,0,0,0.09602711050726134,0,3,0.12312717000232308,0,0,2,0.10766452075411237
1.0,22,484,44,1,False,False,False,6,2,0.2359306861300142,2,3,0,0,0,1,0.6931471805599453,1.8499999999999999,0,0,1,0,0.13167552098203136,1,3,0.11942559141635967,0,1,5,0.17854291215320198
5.0,66,4356,66,1,False,False,False,2,1,0.08464788066761095,1,2,0,0,0,3,1.3862943611198906,1.1500000000000001,0,0,1,0,0.11307491948010931,0,2,0.0886445666115701,0,0,5,0.17473756152716832
3.0,50,2500,150,1,False,False,False,15,3,0.5461545629178923,3,5,0,1,1,6,1.9459101490553132,2.5500000000000003,0,1,1,1,0.7348179927537181,0,4,0.17331037522029275,1,0,5,0.17669830543207674
2.0,33,1089,33,1,False,False,False,2,1,0.08730220222140785,1,2,0,1,0,4,1.6094379124341003,1.3,0,0,1,1,0.0799680513397514,1,4,0.17525196637664844,1,1,5,0.17854291215320198
1.0,21,441,0,1,False,False,False,0,0,0.26854199193087136,0,2,0,1,0,11,2.4849066497880004,0.9,0,0,0,0,0.08201022244034746,0,3,0.12125443625116719,0,0,3,0.09000870749722986
2.0,30,900,60,1,False,False,False,4,2,0.2359306861300142,2,2,0,0,0,5,1.791759469228055,1.4000000000000001,0,0,0,1,0.0799680513397514,0,4,0.17525196637664844,0,0,4,0.10966821404292762
2.0,30,900,30,1,False,False,False,3,1,0.08464788066761095,1,3,0,0,0,8,2.1972245773362196,1.45,0,0,1,0,0.1300282705262567,0,1,0.10722471535179388,0,0,5,0.17473756152716832
5.0,67,4489,0,0,False,False,False,0,0,0.03841058318897575,0,2,0,0,0,1,0.6931471805599453,0.7,0,0,1,0,0.07568639743392369,0,2,0.09268569697360543,0,0,5,0.1792329044686489
3.0,50,2500,100,1,False,False,False,4,2,0.23317194481246947,2,2,0,0,0,3,1.3862943611198906,1.4000000000000001,0,0,0,1,0.11660205721804419,0,4,0.17386138684213095,0,0,4,0.10740123258362805
1.0,25,625,100,1,False,False,False,4,4,0.5111282067367404,4,1,0,0,0,1,0.6931471805599453,1.65,1,0,1,0,0.09985870096715979,1,3,0.1219834162857301,0,1,5,0.1792329044686489
1.0,25,625,0,1,False,False,False,0,0,0.04010408408888351,0,2,0,1,0,6,1.9459101490553132,0.9,0,0,1,1,0.11598264135968962,0,4,0.17331037522029275,1,0,5,0.17669830543207674
2.0,30,900,30,0,False,False,False,2,0,0.08711619640620037,1,2,0,0,0,3,1.3862943611198906,1.1,0,0,0,1,0.07568639743392369,1,4,0.17535002874245104,0,0,4,0.10718281593815017
3.0,37,1369,37,0,False,False,False,2,0,0.08423866352234775,1,2,0,1,0,1,0.6931471805599453,0.95,0,0,1,0,0.08201022244034746,0,1,0.11523176091625197,0,0,5,0.17669830543207674
2.0,30,900,30,1,False,False,False,3,1,0.08464788066761095,1,3,0,0,0,1,0.6931471805599453,1.5999999999999999,0,0,1,1,0.1300282705262567,1,4,0.16979643413223136,1,1,5,0.17473756152716832
2.0,28,784,28,0,False,False,False,2,0,0.08711619640620037,1,2,0,0,0,5,1.791759469228055,1.1,0,0,0,0,0.07568639743392369,1,3,0.1219834162857301,0,0,3,0.08787073922325075
2.0,30,900,60,1,False,False,False,8,2,0.23317194481246947,2,4,1,1,1,1,0.6931471805599453,2.15,0,1,1,0,0.5261616033352384,1,3,0.11954162348512508,0,1,5,0.17619525893659033
4.0,59,3481,177,1,False,False,False,6,3,0.5642880595269645,3,2,0,0,0,2,1.0986122886681098,1.6500000000000001,0,0,1,0,0.07568639743392369,0,3,0.1219834162857301,0,0,5,0.1792329044686489
2.0,29,841,58,1,False,False,False,4,2,0.23598349431068735,2,2,0,1,0,5,1.791759469228055,1.55,0,0,1,1,0.07568639743392369,1,4,0.17535002874245104,1,1,5,0.1792329044686489
2.0,31,961,31,0,False,False,False,2,0,0.08730220222140785,1,2,0,0,0,4,1.6094379124341003,0.95,0,0,0,1,0.12029817018982014,0,4,0.17525196637664844,0,0,4,0.10966821404292762
2.0,27,729,54,1,False,False,False,2,2,0.23598349431068735,2,1,0,0,0,3,1.3862943611198906,1.15,1,0,0,1,0.09985870096715979,1,4,0.17535002874245104,0,1,4,0.10718281593815017
4.0,55,3025,55,1,False,False,False,2,1,0.08423866352234775,1,2,0,0,0,4,1.6094379124341003,1.1500000000000001,0,0,0,1,0.11598264135968962,0,4,0.17331037522029275,0,0,4,0.10459369694815576
2.0,34,1156,34,1,False,False,False,2,1,0.08423866352234775,1,2,0,1,0,4,1.6094379124341003,1.3,0,0,1,1,0.08201022244034746,1,4,0.17331037522029275,1,1,5,0.17669830543207674
0.0,17,289,34,0,False,False,False,2,0,0.2312843150607104,2,1,0,1,0,4,1.6094379124341003,0.9500000000000001,1,0,0,0,0.09321731687589563,1,3,0.12125443625116719,0,0,2,0.0937561764667128
1.0,21,441,63,0,False,False,False,6,0,0.5587254390043633,3,2,0,0,0,3,1.3862943611198906,1.6,0,0,0,1,0.08231477698582208,1,4,0.16979643413223136,0,0,4,0.10474301432449785
3.0,37,1369,74,1,False,False,False,4,2,0.2312843150607104,2,2,0,0,0,5,1.791759469228055,1.55,0,0,1,0,0.08201022244034746,1,1,0.11523176091625197,0,1,5,0.17669830543207674
3.0,42,1764,42,0,False,False,False,2,0,0.08711619640620037,1,2,0,0,0,4,1.6094379124341003,0.95,0,0,0,1,0.11815833088018324,0,4,0.17535002874245104,0,0,4,0.10718281593815017
3.0,40,1600,40,0,False,False,False,1,0,0.08711619640620037,1,1,0,0,0,8,2.1972245773362196,0.55,1,0,0,1,0.09985870096715979,0,4,0.17535002874245104,0,0,4,0.10718281593815017
0.0,17,289,34,0,False,False,False,2,0,0.23598349431068735,2,1,0,1,0,4,1.6094379124341003,0.8,1,0,0,0,0.09985870096715979,0,3,0.1219834162857301,0,0,3,0.08787073922325075
4.0,65,4225,0,0,False,False,False,0,0,0.03950578370223743,0,2,0,0,0,4,1.6094379124341003,0.85,0,0,0,1,0.08231477698582208,1,4,0.16979643413223136,0,0,4,0.10474301432449785
0.0,18,324,36,1,False,False,False,2,2,0.23317194481246947,2,1,0,0,0,7,2.0794415416798357,1.0,1,0,0,0,0.09580031685174088,0,3,0.11954162348512508,0,0,3,0.08903389840944755
2.0,34,1156,102,1,False,False,False,6,3,0.5687359626456416,3,2,0,0,0,3,1.3862943611198906,1.8,0,0,1,0,0.07891206612501864,1,3,0.11954162348512508,0,1,5,0.17619525893659033
3.0,46,2116,92,1,False,False,False,4,2,0.23317194481246947,2,2,0,1,0,4,1.6094379124341003,1.4000000000000001,0,0,1,1,0.11660205721804419,0,4,0.17386138684213095,1,0,5,0.17619525893659033
4.0,54,2916,54,1,False,False,False,2,1,0.08464788066761095,1,2,0,1,0,1,0.6931471805599453,1.3,0,0,1,0,0.08231477698582208,1,3,0.12312717000232308,0,1,5,0.17473756152716832
2.0,27,729,27,1,False,False,False,2,1,0.08447384449235934,1,2,0,0,0,4,1.6094379124341003,1.3,0,0,1,1,0.07891206612501864,1,4,0.17386138684213095,1,1,5,0.17619525893659033
1.0,21,441,21,1,False,False,False,2,1,0.08730220222140785,1,2,0,0,0,4,1.6094379124341003,1.1500000000000001,0,0,0,0,0.0799680513397514,0,3,0.11942559141635967,0,0,3,0.0857230607114941
4.0,64,4096,0,0,False,False,False,0,0,0.03950578370223743,0,2,0,1,0,4,1.6094379124341003,0.7,0,0,1,1,0.11307491948010931,0,4,0.16979643413223136,1,0,5,0.17473756152716832
4.0,56,3136,56,1,False,False,False,1,1,0.08447384449235934,1,1,0,0,0,3,1.3862943611198906,0.75,1,0,0,1,0.09580031685174088,0,4,0.17386138684213095,0,0,4,0.10740123258362805
3.0,40,1600,40,0,False,False,False,2,0,0.08423866352234775,1,2,0,1,0,6,1.9459101490553132,0.95,0,0,1,0,0.11598264135968962,0,1,0.11523176091625197,0,0,5,0.17669830543207674
1.0,21,441,84,1,False,False,False,4,4,0.5111282067367404,4,1,0,0,0,10,2.3978952727983707,1.65,1,0,0,0,0.09985870096715979,1,3,0.1219834162857301,0,1,3,0.05901212027369647
0.0,18,324,36,1,False,False,False,2,2,0.2312843150607104,2,1,0,1,0,9,2.302585092994046,1.0,1,0,0,0,0.09321731687589563,0,3,0.12125443625116719,0,0,2,0.0937561764667128
3.0,42,1764,84,1,False,False,False,4,2,0.23317194481246947,2,2,0,1,0,1,0.6931471805599453,1.4000000000000001,0,0,1,0,0.11660205721804419,0,1,0.11219584686078754,0,0,5,0.17619525893659033
1.0,22,484,22,0,False,False,False,1,0,0.08711619640620037,1,1,0,1,0,2,1.0986122886681098,0.55,1,0,0,0,0.09985870096715979,0,3,0.1219834162857301,0,0,3,0.08787073922325075
4.0,52,2704,52,1,False,False,False,2,1,0.08711619640620037,1,2,0,0,0,8,2.1972245773362196,1.1500000000000001,0,0,0,1,0.07568639743392369,0,4,0.17535002874245104,0,0,4,0.10718281593815017
2.0,35,1225,35,1,False,False,False,2,1,0.08464788066761095,1,2,0,0,0,6,1.9459101490553132,1.3,0,0,0,1,0.08231477698582208,1,4,0.16979643413223136,0,1,4,0.10474301432449785
4.0,64,4096,64,1,False,False,False,1,1,0.08711619640620037,1,1,0,0,0,2,1.0986122886681098,0.75,1,0,1,0,0.09985870096715979,0,2,0.09268569697360543,0,0,5,0.1792329044686489
3.0,42,1764,84,1,False,False,False,4,2,0.23317194481246947,2,2,0,1,0,5,1.791759469228055,1.55,0,0,1,1,0.11660205721804419,1,4,0.17386138684213095,1,1,5,0.17619525893659033
1.0,23,529,23,1,False,False,False,4,1,0.08711619640620037,1,4,1,0,0,10,2.3978952727983707,1.9,0,1,0,0,0.5372731806746925,1,1,0.11623857258052407,0,1,2,0.10836204283506945
3.0,42,1764,126,1,False,False,False,6,3,0.5489788770820274,3,2,0,1,0,1,0.6931471805599453,1.6500000000000001,0,0,1,1,0.0799680513397514,0,4,0.17525196637664844,1,0,5,0.17854291215320198
