idx,primary_barrier,primary_action,sdg_alignment
2,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
3,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
4,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
8,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
10,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
11,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
12,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
13,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
15,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
17,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
18,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
25,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
26,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
31,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
32,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
33,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
42,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
50,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
55,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
56,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
59,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
61,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
62,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
64,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
65,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
67,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
72,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
75,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
80,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
89,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
93,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
95,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
98,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
104,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
105,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
107,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
111,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
112,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
113,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
118,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
119,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
126,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
128,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
131,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
136,inclusion_score,📊 Multi-factor intervention needed,"SDG 1, 4, 8, 10"
139,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
141,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
142,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
143,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
144,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
150,inclusion_score,📊 Multi-factor intervention needed,"SDG 1, 4, 8, 10"
156,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
157,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
162,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
164,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
168,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
172,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
176,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
184,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
189,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
190,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
191,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
199,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
201,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
204,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
205,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
206,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
210,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
217,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
218,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
219,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
221,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
227,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
228,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
232,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
234,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
238,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
239,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
243,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
245,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
253,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
260,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
264,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
266,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
271,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
274,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
276,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
279,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
285,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
292,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
293,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
294,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
296,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
299,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
300,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
303,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
306,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
310,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
313,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
314,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
315,inclusion_score,📊 Multi-factor intervention needed,"SDG 1, 4, 8, 10"
317,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
318,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
324,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
329,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
330,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
335,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
337,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
339,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
340,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
343,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
344,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
345,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
347,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
353,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
355,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
360,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
362,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
364,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
368,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
373,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
385,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
389,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
390,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
392,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
393,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
394,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
395,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
403,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
408,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
409,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
411,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
413,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
414,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
415,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
428,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
430,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
443,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
448,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
449,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
450,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
452,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
453,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
